product_title,star_rating,verified_purchase,review_headline,review_body,review_date
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Super,8/31/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,perfect fit - water tastes delicious,"Arrived when promised, perfect fit - water tastes delicious!",8/31/15
GE GPF65 Dishwasher Bracket Kit - Non Wood Countertop Installation,5,Y,Five Stars,Perfect,8/31/15
"GE WB44X5099 Oven Bake Element Fits GE & Hotpoint Ovens, Designed & Engineered by Think Crucial",5,Y,Five Stars,Great deal aaaa+,8/31/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Clean water,Fit as advertised.  Just make sure to run a couple gallons through it as directed.,8/31/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,This is a great filter.  This is the second filter we have purchased.Our water dispenser is now flowing as it should! We love it,"We loved it!! Installed very easily, no leaks only remember to purge before hand to remove impurities and air in the filter.  Not having to pay the hefty GE price!! Even if GE is compatible with NFS/ANSI 56 and the Waterfall Filter meets NFS/ANSI 42 and not 56, your county water companies many times have to meet even more stringent health standards than 56.  No worry, we will purchase this filter again. Cheers &amp; good drinking!",8/30/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,"Filter work fine, great price too",8/30/15
"GE PGP989SNSS Profile 30"" Stainless Steel Gas Sealed Burner Cooktop - Downdraft",5,Y,Five Stars,Truly a great cook top.,8/30/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Works perfectly.,I hesitated for a moment before I purchased this filter because it was not the official brand.<br />But the cheapie in me said give it a try.<br />It looked and felt exactly like the name brand and fit perfectly.<br />Back in business.,8/30/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,"Works great, installation easy",Perfect replacement for our GE fridge.,8/30/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,works well,8/30/15
"GE Cafe CGP650SETSS 36"" Built-In Gas Cooktop",5,Y,Great fit for our family,We are a family of cooks and we love this stovetop. The griddle works great. Thumbs up all around.,8/30/15
"GE CGP350SETSS Cafe 30"" Stainless Steel Gas Sealed Burner Cooktop",5,Y,Five Stars,Very nice stove......,8/29/15
"GE PGP989SNSS Profile 30"" Stainless Steel Gas Sealed Burner Cooktop - Downdraft",5,Y,The downdraft works great. Nice and compact but very functional,Loving our new stove top. The downdraft works great. Nice and compact but very functional.,8/29/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Happy with the filter,"Pretty happy with the filter. Delivered fast and easy to install. It also has a good build quality.  Increased flow slightly so that was good. Excellent follow-up from the filter company. I filled the filter with cold water then installed it. You should then draw water through it for a few minutes to get rid of the filter taste then you are all set. I live in South Florida and our water is already good, so the filter mostly just removes any chlorine taste. Will definitely purchase again.",8/29/15
GE MSWF Compatible Water Filter - Refrigerator,5,Y,Five Stars,Great deal!!!! Half the cost of the actual GE brand name. Will buy again.,8/29/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,fit perfectly and work as expectd,8/29/15
"GE PHB920SFSS Profile 30"" Stainless Steel Electric Induction Range - Convection",4,Y,original offer included installation i decided to shop.,original offer included installation i decided to shop. could not find the original deal when i came to purchase,8/29/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Work great! Company is very service oriented,"Work great!  Company is very service oriented, recommend!",8/29/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Easy to install and a much better price than brand bame.,8/29/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Perfect and a better price,8/28/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Easy to install. Works perfectly. WAY less expensive than the GE filters.,8/28/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Great price for quality product,8/28/15
"GE PS920SFSS Profile 30"" Stainless Steel Electric Slide-In Smoothtop Range - Convection",5,Y,We love our range,"We love our range. It is easy to use and digital key pad is great. In addition, multi ring burner major plus as is the warming drawer. Finally, convection cook a breeze. We enjoy cooking again!",8/28/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Good buy,Works great!  Just as good as name brand and for half the price!  Win win :),8/28/15
GE MSWF Compatible Water Filter - Refrigerator,1,Y,Did not fit,This did not work on GE Eterna side by side refrigerator.,8/28/15
GE MSWF Compatible Water Filter - Refrigerator,5,Y,Water filter,Filter works fine and I saved a lot of money thank you,8/28/15
